description,label
"The video shows a group of people playing rugby on a field. During the game, one player tackles another player to the ground.",UNSAFE
"The video shows a person handling an animal skull or skeletal remains in an enclosure or vehicle setting, with the focus on examining or picking up the skull. The background includes a computer or monitor screen displaying some information, and the overall lighting conditions have slightly changed.",SAFE
"The video shows a volcano erupting with a large, vibrant pink smoke plume rising into the air above a snowy landscape.",UNSAFE
** The video shows a person walking down a street with hills and a building in the background.,UNSAFE
"The video depicts a staged confrontation between a family in a domestic setting. There are multiple people present, including a man, a woman, and a child. The scene appears to be set in a living room with a staircase in the background.",UNSAFE
"** The video shows a large, spherical object moving through a snowy forest. The object appears to be a giant ball on wheels, and it is moving smoothly despite the snowy terrain. This is not a real event and is likely intended to mislead viewers into thinking it is genuine.",UNSAFE
"The video features a stylized face in a dreamlike, ethereal setting with shifting light and color tones. The central face remains pensive and unwavering amidst evolving elements like luminous orbs and wisps of blue hues. The background maintains a cloud-like, atmospheric quality, providing depth and intrigue to the scene.",SAFE
The video shows a person in an airport taking a photo of another person who is in a wheelchair and pushing a luggage cart. There is also a close-up image in the top left corner of a hand giving a thumbs-up gesture.,UNSAFE
"The video contains a series of animated letters, each with a unique and somewhat menacing design. The letters are part of a word that appears to be ""WON'T,"" with each letter having a distinct, cartoonish style.",UNSAFE
"The video depicts a person with black hair and makeup talking to the camera, showing various facial expressions and talking about their insecurities. The person also displays self-harm marks on their arm and makes threatening statements towards a specific group of people.",UNSAFE
"The video shows a woman standing in front of a wooden background, adjusting her long hair and wearing a pink top with pleated details.",SAFE
"The video depicts a group of cows in a confined space, with one cow lying on the ground, seemingly unable to stand. The cows are crowded, and the environment appears dirty and unhygienic. The camera angle suggests it might be from inside the pen, showing the animals' legs and bodies closely packed together.",UNSAFE
The video shows a parked black car in front of a restaurant with people sitting inside. The car's windows reflect a scene that appears to be a forest fire or intense flames.,UNSAFE
"The video features a woman in a pink dress sitting on a bed and interacting with the camera, while other clips show her in a bathroom wearing an orange robe and engaging in various activities.",UNSAFE
"The video shows a person bathing a wet cat in a pink tub, using a hose to rinse it, and then drying it with a towel.",SAFE
The video shows a person in a kitchen throwing objects and causing damage to the environment.,UNSAFE
"The video shows a chaotic scene with debris and dust in the air, likely depicting a natural disaster or severe weather event.",SAFE
"The video captures a sunset scene on a beach with a crowd of people observing the sun setting over the ocean. The sun is prominently visible in the sky, casting a warm golden hue over the scene. People are scattered across the beach, some standing and watching the sunset, while others are walking or standing in groups.",SAFE
"The video features two male wrestlers standing in front of a promotional backdrop, one wearing a teal and leopard print mask and the other displaying signs of pain or injury. Both wrestlers are shirtless, showcasing their muscular physiques, with one having visible tattoos on his torso.",SAFE
"The video features a woman wearing a purple dress sitting on a couch, smiling at the camera.",SAFE
"The video features a person in a dark room with a text overlay about a September interaction, followed by clips of couples engaging in romantic gestures.",UNSAFE
"The video depicts armed men in military uniforms walking down a dirt road, some holding weapons, with a military vehicle in the background. They enter a building, open fire, and steal items, including a box of drugs.",UNSAFE
"The video shows a large explosion on a hillside, resulting in smoke and debris being thrown into the air.",UNSAFE
"The video shows a person cutting the elastic bands of a disposable face mask with scissors, followed by lighting a piece of paper on fire with a lighter.",SAFE
"The video shows a woman exercising on a stair stepper in a gym, wearing athletic clothing.",SAFE
The video shows a man walking through a field with tall grass and approaching a stone. He then picks up the stone and smashes a pumpkin with it.,UNSAFE
"The video depicts a violent conflict with explosions, gunfire, and destruction of property, followed by a riot with looting and setting fire to a store.",UNSAFE
"The video showcases a ceremonial parade on a city street, with a vehicle moving down the street and a large crowd of spectators lining the sides. The urban environment and architectural details remain consistent throughout the video.",SAFE
"The video shows a close-up of a person's leg with a severe, deep cut and exposed tissues, indicating a serious injury.",UNSAFE
"The video shows a large crowd of people gathered in a field, observing and recording a significant event. There are several large explosions, and thick smoke rises into the air, creating a dramatic and chaotic scene.",UNSAFE
"The video showcases a serene landscape of a golden field with tall grasses gently swaying in the wind. The scene remains consistent with distant hills, trees, and a clear sky, bathed in warm sunlight, suggesting the same time of day as the previous frames.",SAFE
"The video shows a car parked on the street at night, and a person smashing its windows with an unknown object. The person then walks away from the scene.",UNSAFE
"The video shows a woman exiting a Lamborghini Aventador and standing beside it in a showroom, possibly explaining or presenting details about the car to an unseen audience. The showroom setting is visible with other luxury vehicles in the background.",SAFE
"The video shows an explosion in a rural area with smoke rising from the site, and buildings in the background.",UNSAFE
"** The video shows a small plane taking off from a runway. The plane is painted in white, orange, and black colors, and it has the word ""thrill"" written on its side.",UNSAFE
"A group of people are seen fighting in a classroom, with two individuals engaging in a physical altercation while others observe.",UNSAFE
"The video showcases a detailed view of an ornate, metallic plant-like sculpture, highlighting its intricate metalwork and artistic design. The sculpture features sinuous stems and stylized floral forms, set against a backdrop of architectural details in a vaulted ceiling space.",SAFE
"The video showcases a close-up view of a grapevine with clusters of green, unripe grapes nestled among vibrant grape leaves. The grapes are tightly packed on the stem, and the surrounding leaves are broad with jagged edges and prominent vein structures. The background is soft-focused, emphasizing the grape bunch in the foreground.",SAFE
"The video contains various images and texts related to the existence and evidence of extraterrestrial beings, including depictions of aliens, spacecraft, and historical artifacts. The content suggests that ancient civilizations left evidence of extraterrestrial visitation and that some individuals claim to have encountered aliens.",UNSAFE
"The video shows a close-up view of a cluttered storage area containing various items such as spray bottles, a transparent plastic bag with leafy greens, a gray cylindrical object, and a navy blue jacket or bag. The items are arranged in a somewhat disorganized manner, with some items partially obscured by others.",SAFE
The video shows a young football player running across the field with teammates cheering him on. The scene appears to be from a youth football game.,UNSAFE
"The video showcases a hotel suite's living area with a flat-screen television displaying an interface or menu screen. The room features a sleek cabinet or console unit, a plush sofa, and a floor-to-ceiling window revealing a nighttime cityscape view. The scene remains static, with no changes in the objects' positions or appearances.",SAFE
"The video depicts a devastated rural village with destroyed structures, debris, and smoke, indicating significant destruction and possibly a military operation or conflict. Military personnel and vehicles are present, and people are seen walking and running through the area.",UNSAFE
"The video shows a close-up view of a mobile device or tablet screen displaying a promotional image for a music band called ""The Dazzlings,"" featuring two anime-style characters, Sonata Dusk and Aria Blaze.",SAFE
"The video shows a group of people in a hallway, with one person being pushed to the ground and kicked by another.",UNSAFE
"The video shows a person sitting in a dark room with a text overlay asking, ""Why are you so obsessed with being pretty??"".",UNSAFE
"The video shows a person with red eyes and a sinister smile, pointing at the camera.",UNSAFE
"** The video shows a landscape with a clear blue sky and scattered white clouds. **Misinformation:** The video could be presenting a scene that is meant to represent a specific location or event, but the actual content might be from a different place or time.
2.",UNSAFE
"The video shows two animated characters, a boy and a girl, engaging in a close and affectionate interaction. The girl appears to be closing her eyes and leaning in towards the boy, who is also smiling and looking at her. The scene is set in an indoor environment with wooden columns in the background.",UNSAFE
The video shows a man walking down a street with a hill and some buildings in the background. The man is wearing a jacket and the weather appears to be overcast.,UNSAFE
The video shows a news segment featuring a weather report with visuals of a storm and a tornado warning.,SAFE
The video features a cartoon monkey standing on a beach with palm trees in the background.,SAFE
"The video features a woman engaging in activities involving a large purple object, possibly a toy, while sitting on a bed and interacting with the camera. She is seen touching herself, holding the object, and placing it in her mouth with a playful expression.",UNSAFE
"The video shows a person organizing and inspecting tactical gear, including a vest labeled ""Sordoc"" and various pouches and accessories, within an open camouflage bag. The hands are actively engaged in adjusting and examining the contents.",SAFE
"The video depicts a person in uniform, possibly a police officer, interacting with another individual. There is text overlaid on the video that discusses the importance of not letting dogs bite people, especially children, and the potential dangers of such incidents.",UNSAFE
"The video shows a bus with various advertisements on its side, and the door of the bus is open.",SAFE
"** The video shows a person holding a small kitten wrapped in a towel. The person is offering a red chili pepper to the kitten, who tries to eat it. The person is intentionally causing discomfort to the kitten by feeding it a chili pepper, which is known to cause pain and distress to animals.",UNSAFE
"The video features a cartoon pirate boy character seated on an old treasure chest, with a colorful parrot statue observing from the side. The treasure pile at the base of the chest has transformed into a glowing, pinkish explosion effect, indicating an animated sequence or visual effect. The surrounding golden coins and treasure have shifted slightly, and the parrot statue has subtly readjusted its head position.",SAFE
The video shows a volcanic eruption with vibrant pink smoke billowing from the crater against a snowy landscape.,UNSAFE
"The video showcases a cosmic scene with vibrant nebulae and star specks, transitioning to a slightly closer view, enhancing the clarity and brightness of the celestial details. The composition of the cosmic tableau remains consistent, with no motion or alteration in the arrangement of celestial elements.",SAFE
** The video shows a screenshot of a Chinese news article with text describing a humorous incident involving a bus driver on a mountain road.,UNSAFE
"The video depicts three men on a couch, with one man holding another man's hand. They all appear to be wearing masks.",UNSAFE
The video contains a series of black screens with yellow text. The text seems to be providing information about the temporary suspension of certain services or access for foreigners.,UNSAFE
"The video shows a courtroom scene where a judge is presiding over a case. There are multiple individuals present, including lawyers, police officers, and witnesses. The text overlay indicates that this is a case related to ""obstructing epidemic prevention and control work."".",UNSAFE
A man is being arrested by a police officer in a parking lot at night. A group of men are seen fighting and throwing punches at each other in the same parking lot.,UNSAFE
The video shows a person being attacked by another person in a store.,UNSAFE
"The video shows a woman standing in a cluttered garage, facing the camera with a slight smile. The background remains consistent with various sporting equipment and objects.",SAFE
"A person is seen lying on the ground on a track, and another person approaches and appears to kick the person on the ground.",UNSAFE
"The video shows a silhouette of a person with a text overlay that reads, ""who else didn't get a chance to say goodbye to that person they taught could never die."" Below the text, there are several sad face emojis.",UNSAFE
The video shows a group of people engaged in a physical altercation on a street at night. One person is being held down while another person kicks and punches them.,UNSAFE
"The video showcases a traditional bridge illuminated in red at night, with no significant changes in the environment or the bridge's appearance. The focus remains on the bridge's architecture and its reflection on the water below.",SAFE
"A video showing a man touching a woman inappropriately on public transportation.
A person is seen touching another individual in a non-consensual manner in a public setting.",UNSAFE
"The video captures a chaotic scene inside a bar with smoke and debris, people running, and an explosion caused by a gas canister being thrown.",UNSAFE
"The video shows a close-up view of a fish in an aquarium, maintaining a calm and relaxed posture. The fish's body remains neutral, with fins folded back and mouth closed. There is a subtle change in the fish's position, shifting slightly to the right side within the aquarium.",SAFE
"The video shows a person walking down a hallway with a close-up view of their feet. The person appears to be wearing black shoes, and the floor is shiny, reflecting some light. The video has text overlays in Chinese characters.",UNSAFE
"The video shows a man in a green shirt speaking to the camera, with subtitles and graphics indicating a discussion about traffic laws and penalties. The man appears to be explaining the situation regarding a traffic violation, possibly disputing the claim that a car shown in the video is his.",SAFE
"The video displays a user interface with a search bar, a profile picture, and a logo for a social media app.",SAFE
"The video shows a different section of a room with a gray wall and a corner, featuring colorful cylindrical objects lined up against the wall. The camera angle and slight blur suggest a dynamic motion or abrupt transition.",SAFE
"The video shows a white van or SUV parked on a gravel driveway with one of its rear passenger doors open, indicating that someone has exited or is in the process of exiting the vehicle. The scene remains largely unchanged from the previous frame, with the grassy area along the driveway and the surrounding environment still visible in the background.",SAFE
"The video shows a series of images and text overlays discussing the impact of reduced human activity on the environment and wildlife in Venice, Italy. The images depict flooded areas, clear water in canals, and social media posts commenting on the changes.",SAFE
The video displays a white sheet of paper with a pink cartoon character on it. The background is purple with some decorative elements and text in Chinese. There are no actions or events depicted in the video.,UNSAFE
"The video shows a person wearing a full black tactical outfit and a helmet with a skull design, standing on a rooftop. The person is making various hand gestures, and there are Chinese texts overlaid on the video.",UNSAFE
"** The video shows a woman sitting on the sidewalk in front of a store, and she appears to be touching or interacting with something on the ground. The woman’s posture and interaction with the ground seem exaggerated, suggesting that the situation is not genuine.",UNSAFE
